Restaurant,Cuisine,Neighborhood,Address,Latitude,Longitude
Mable's Smokehouse and Banquet Hall,Barbecue,"Williamsburg, New York, NY","44 Berry St, Brooklyn, NY 11249, USA",40.7211699,-73.9564824
Craft,American (New),"Gramercy, New York, NY","43 E 19th St, New York, NY 10003, USA",40.7381721,-73.9886689
Seawolf - Bushwick,Seafood,"Bushwick, New York, NY","19 Wyckoff Ave, Brooklyn, NY 11237, USA",40.7068357,-73.9228064
Morton's The Steakhouse—Manhattan,Steakhouse,"Midtown East, New York, NY","551 5th Ave, New York, NY 10017, USA",40.7557002,-73.9790606
Raval Steakhouse,Steakhouse,"Tompkinsville, New York, NY","12 Minthorne St, Staten Island, NY 10301, USA",40.6371226,-74.0755683
Sungold,American (New),"Williamsburg, New York, NY","96 Wythe Ave, Brooklyn, NY 11249, USA",40.7216011,-73.9588991
Carmine's - Upper West Side,Italian,"Upper West Side, New York, NY","2450 Broadway, New York, NY 10024, USA",40.7911087,-73.9739812
Momofuku Noodle Bar,Asian Fusion,"East Village, New York, NY","171 1st Ave, New York, NY 10003, USA",40.7292397,-73.9845028
Leonetta,Mediterranean,"Murray Hill, New York, NY","181 Lexington Ave, New York, NY 10016, USA",40.7445325,-73.9808436
Bryant Park Grill,American (Traditional),"Midtown West, New York, NY","25 W 40th St, New York, NY 10018, USA",40.7531999,-73.982957
Legasea,American (New),"Garment District, New York, NY","485 7th Ave, New York, NY 10018, USA",40.7523102,-73.9891202
Riverpark,American (New),"Kips Bay, New York, NY","440-450 E 29th St, New York, NY 10016, USA",40.7392692,-73.9734613
Steak Frites Bistro,French,"Garment District, New York, NY","496 9th Ave, New York, NY 10018, USA",40.7555944,-73.9943859
The Chemistry Room,Japanese / Sushi,"Times Square/Theatre District, New York, NY","130 W 47th St, New York, NY 10036, USA",40.7583541,-73.9832143
Wallsé,Austrian,"West Village, New York, NY","344 W 11th St, New York, NY 10014, USA",40.7354249,-74.00823560000000
Stout NYC Bryant Park,American (Traditional),"Garment District, New York, NY","109 W 39th St, New York, NY 10018, USA",40.7532842,-73.9859522
Blue Fin,Seafood,"Times Square/Theatre District, New York, NY","1567 Broadway, New York, NY 10036, USA",40.7595007,-73.985587
Giorgio's of Gramercy,American (New),"Gramercy, New York, NY","27 E 21st St, New York, NY 10010, USA",40.7397115,-73.9886319
Mastro's Steakhouse NYC,Steakhouse,"Midtown West, New York, NY","1285 6th Ave, New York, NY 10019, USA",40.76110390000000,-73.9801635
Hawksmoor,Steakhouse,"Gramercy, New York, NY","109 E 22nd St, New York, NY 10010, USA",40.7395356,-73.9863884
Langan's,American (New),"Times Square/Theatre District, New York, NY","114 W 47th St, New York, NY 10036, USA",40.7582963,-73.9828891
abcV,American (New),"Flatiron District, New York, NY","38 E 19th St, New York, NY 10003, USA",40.7379868,-73.9892758
Skinos,Mediterranean,"Lower Manhattan, New York, NY","123 Washington St, New York, NY 10006, USA",40.7092122,-74.01375880000000
Sant Ambroeus—Brookfield,Italian,"Battery Park City, New York, NY","230 Vesey St, New York, NY 10080, USA",40.7124742,-74.0156903
JoJo,American (New),"Upper East Side, New York, NY","160 E 64th St, New York, NY 10065, USA",40.76508950000000,-73.96570180000000
Akoya,Japanese / Sushi,"Times Square/Theatre District, New York, NY","6 Times Sq, New York, NY 10036, USA",40.7554688,-73.9863041
Fandi Mata,Mediterranean,"Williamsburg, New York, NY","74 Bayard St, Brooklyn, NY 11222, USA",40.7188864,-73.94923850000000
