Restaurant,Cuisine,Neighborhood
Boucherie Union Square,French,"Gramercy, New York, NY"
Benjamin Steakhouse,Steakhouse,"Midtown East, New York, NY"
Il Buco Alimentari & Vineria,Italian,"Noho, New York, NY"
'ino,Italian,"Flatiron District, New York, NY"
Marlow Bistro,Mediterranean,"Upper West Side, New York, NY"
Ayza,American (New),"Koreatown, New York, NY"
Redeye Grill,American (New),"Midtown West, New York, NY"
Lillie's Victorian—Union Square,American (New),"Union Square, New York, NY"
Acadia,Mediterranean,"Midtown West, New York, NY"
The Uptown Garrison,American (New),"Washington Heights, New York, NY"
La Sirene,French,"Soho, New York, NY"
Gallaghers Steakhouse,Steakhouse,"Times Square/Theatre District, New York, NY"
Stout NYC Penn Station,American (Traditional),"Herald Square, New York, NY"
Copinette,American (New),"Midtown East, New York, NY"
La Pecora Bianca Midtown,Italian,"Midtown East, New York, NY"
Calle Dão - Bryant Park,Asian Fusion,"Midtown West, New York, NY"
Planet Hollywood New York,American (New),"Times Square/Theatre District, New York, NY"
Kru,Thai,"Greenpoint, New York, NY"
J’s On The Bay,American (New),"Rosebank, New York, NY"
The Flatiron Room - Murray Hill,American (New),"Murray Hill, New York, NY"
Fushimi - Times Square,Japanese / Sushi,"Hells Kitchen, New York, NY"
Temple Court,American (New),"Lower Manhattan, New York, NY"
Celeste,Italian,"Upper West Side, New York, NY"
Clara,American (New),"Upper West Side, New York, NY"
The Bronx Beer Hall,Pizza,"Belmont, New York, NY"
Victor's Cafe,Cuban,"Times Square/Theatre District, New York, NY"
Osteria by Primo,Italian,"Todt Hill, New York, NY"
House of the Red Pearl,Chinese,"The Seaport, New York, NY"
Philippe by Philippe Chow Downtown,Chinese,"Chelsea, New York, NY"
San Carlo,Italian,"Soho, New York, NY"
Stella 34 Trattoria,Italian,"Herald Square, New York, NY"
Alice,Italian,"West Village, New York, NY"
Archer & Goat,American (New),"Harlem, New York, NY"
Rivercrest,American (New),"Astoria, New York, NY"
Grotta Azzurra,Italian,"Little Italy, New York, NY"
Suprema Provisions,Italian,"West Village, New York, NY"
Tamarind Tribeca,Indian,"Tribeca, New York, NY"
Henry's End,American (New),"Brooklyn Heights, New York, NY"
Amity Hall Uptown,American (New),"Upper West Side, New York, NY"
Lafayette,French,"Noho, New York, NY"
Tommy Bahama Restaurant–Bar–Store,American (New),"Midtown East, New York, NY"
Atlantis Prime,Steakhouse,"Herald Square, New York, NY"
Carne Mare,Steakhouse,"The Seaport, New York, NY"
Mamo,Italian,"Soho, New York, NY"
Serra,Italian,"Flatiron District, New York, NY"
Gabriel's Bar & Restaurant,Italian,"Midtown West, New York, NY"
Grand Brasserie,French,"Midtown East, New York, NY"
Da Andrea - Greenwich Village,Italian,"Greenwich Village, New York, NY"
The Ivy Room,American (New),"Nomad, New York, NY"
A La Turka,Turkish,"Upper East Side, New York, NY"
The Otter,Seafood,"Soho, New York, NY"
Tonchin Brooklyn,Japanese / Sushi,"Williamsburg, New York, NY"
Union Square Cafe,American (New),"Gramercy, New York, NY"
Chelsea Ristorante,Italian,"Chelsea, New York, NY"
Arte Cafe,Italian,"Upper West Side, New York, NY"
STK Midtown,Steakhouse,"Midtown West, New York, NY"
The Queensboro,American (Traditional),"Jackson Heights, New York, NY"
French Louie,French,"Boerum Hill, New York, NY"
Molyvos,Greek,"Hells Kitchen, New York, NY"
The Noortwyck,American (New),"West Village, New York, NY"
Dos Caminos Lexington,Mexican,"Midtown East, New York, NY"
Del Frisco's Grille - Brookfield Place,Steakhouse,"Battery Park City, New York, NY"
Dowling’s at The Carlyle,American (Traditional),"Upper East Side, New York, NY"
The Bar Room at The Modern,American (New),"Midtown West, New York, NY"
Naro,Korean,"Midtown West, New York, NY"
Le District Bar & Bistro,French,"Battery Park City, New York, NY"
Masaaki,Japanese / Sushi,"Bayside, New York, NY"
Cafe Zaffri,Middle Eastern,"Union Square, New York, NY"
Blvd Bistro,Soul Food / Southern,"Harlem, New York, NY"
Zou Zou's,Mediterranean,"Hudson Yards, New York, NY"
Peggy's,Eclectic,"Midtown East, New York, NY"
Fogo de Chão Brazilian Steakhouse - World Trade Center,Brazilian,"Lower Manhattan, New York, NY"
Telio,Greek,"Upper West Side, New York, NY"
Noodle Bar - Uptown,Asian Fusion,"Midtown West, New York, NY"
Allora Fifth Ave,Italian,"Nomad, New York, NY"
La Pecora Bianca Upper East Side,Italian,"Upper East Side, New York, NY"
Il Mulino New York | Madison,Italian,"Midtown East, New York, NY"
Paris Bar,French,"Midtown West, New York, NY"
BKK New York,Thai,"Midtown West, New York, NY"
Dhamaka,Indian,"Lower East Side, New York, NY"
Anassa Taverna - Astoria,Greek,"Astoria, New York, NY"
ilili - Midtown,Mediterranean,"Midtown East, New York, NY"
Le Tout Va Bien,French,"Hells Kitchen, New York, NY"
Crazy Pizza,Italian,"Soho, New York, NY"
Murano Ristorante,Italian,"Midtown East, New York, NY"
Amélie - Upper West Side,French,"Upper West Side, New York, NY"
Izakaya Futago,Japanese / Sushi,"Midtown East, New York, NY"
Cha Cha Tang,Chinese,"West Village, New York, NY"
Brasserie Cognac - Midtown East,French,"Midtown East, New York, NY"
Ponty Bistro,French,"Harlem, New York, NY"
Wan Waan,Thai,"Chelsea, New York, NY"
Smith & Mills - Rockefeller Center,American (New),"Midtown West, New York, NY"
Levant on Smith,French,"Carroll Gardens, New York, NY"
Docks Off 5th,Seafood,"Midtown West, New York, NY"
Romeo's Italian Restaurant,Italian,"Jackson Heights, New York, NY"
Renaissance Harlem,American (New),"Harlem, New York, NY"
La Pecora Bianca Bryant Park,Italian,"Midtown West, New York, NY"
Burrito Bar,Mexican,"West Brighton, New York, NY"
Red Room Bar,French,"Lower Manhattan, New York, NY"
Motek,Mediterranean,"Flatiron District, New York, NY"
Markette,Caribbean,"Chelsea, New York, NY"
Arthur & Sons - Murray Hill,Italian,"Murray Hill, New York, NY"
Tinos,Greek,"Upper East Side, New York, NY"
UNGLO Thai Restaurant & Bar,Thai,"Upper West Side, New York, NY"
Pepolino,Italian,"Tribeca, New York, NY"
Casa Louie,Italian,"Hudson Yards, New York, NY"
Barlume,Mediterranean,"Flatiron District, New York, NY"
Saggio,Italian,"Washington Heights, New York, NY"
Mama Mezze,Mediterranean,"Nomad, New York, NY"
Don Cheech,Italian,"Rosebank, New York, NY"
Ralph's Sports Bar,American (New),"Dongan Hills, New York, NY"
Eataly NYC SoHo,Italian,"Soho, New York, NY"
Pico De Gallo Bar & Kitchen,Mexican,"Upper West Side, New York, NY"
Drai's Supper Club,French,"West Village, New York, NY"
Aquarelle,Seafood,"East Village, New York, NY"
City Vineyard,American (New),"Tribeca, New York, NY"
Rosie O'Grady's,American (Traditional),"Times Square/Theatre District, New York, NY"
Bar Bianchi,Italian,"East Village, New York, NY"
Naxos,Greek,"Williamsburg, New York, NY"
El Bistró Tropical,Colombian,"Nomad, New York, NY"
SaiTong Thai,Thai,"Times Square/Theatre District, New York, NY"
Pylos,Greek,"East Village, New York, NY"
8282,Korean,"Lower East Side, New York, NY"
Le Monde,French,"Morningside Heights, New York, NY"
Fogo de Chão Brazilian Steakhouse - Brooklyn,Brazilian,"Downtown Brooklyn, New York, NY"
Bleu Fin,Seafood,"Bushwick, New York, NY"
Stretch Pizza - Park Ave,Pizza,"Flatiron District, New York, NY"
Sea by Jungsik,Thai,"Chelsea, New York, NY"
Reverie,Williamsburg,"nan, New York, NY"
Anassa Taverna - Downtown,Greek,"Battery Park City, New York, NY"
La Pecora Bianca SoHo,Italian,"Soho, New York, NY"
Quality Italian,Italian,"Midtown West, New York, NY"
Code Red Restaurant & Lounge,Caribbean,"Laconia, New York, NY"
Gitano NYC,Mexican,"The Seaport, New York, NY"
American Brass,American (New),"Long Island City, New York, NY"
Pascalou,French,"Upper East Side, New York, NY"
Leon’s,Italian,"Greenwich Village, New York, NY"
Barrio BX,Puerto Rican,"Unionport, New York, NY"
Cathédrale,French,"East Village, New York, NY"
F&J Pine,Italian,"Morris Park, New York, NY"
Mito - Fort Greene,Japanese / Sushi,"Fort Greene, New York, NY"
Poppy,American (New),"East Village, New York, NY"
Surfish Bistro,Peruvian,"Gowanus, New York, NY"
Sistina,Italian,"Upper East Side, New York, NY"
Yefsi Estiatorio,Greek,"Upper East Side, New York, NY"
Mykonian House,Greek,"Upper East Side, New York, NY"
Aqua Roma,Italian,"Flatiron District, New York, NY"
ABC Kitchens DUMBO,American (New),"Dumbo, New York, NY"
Smyth Tavern,American (Traditional),"Tribeca, New York, NY"
Benihana,Japanese / Sushi,"Midtown West, New York, NY"
Saigon Social,Vietnamese,"Lower East Side, New York, NY"
Little Fino,Italian,"Williamsburg, New York, NY"
La Tête d’Or,Steakhouse,"Flatiron District, New York, NY"
Ishq,Indian,"East Village, New York, NY"
Caravaggio,Italian,"Upper East Side, New York, NY"
iNine Bistro,Eclectic,"Mott Haven, New York, NY"
Quality Meats,Steakhouse,"Midtown West, New York, NY"
Bar Chuzo,Latin American,"Bay Ridge, New York, NY"
Amélie - West Village,French,"Greenwich Village, New York, NY"
Liman Restaurant,Mediterranean,"Coney Island, New York, NY"
Catch n' Chop,Steakhouse,"Upper East Side, New York, NY"
Fogo de Chão Brazilian Steakhouse - Elmhurst,Brazilian,"Elmhurst, New York, NY"
Amaranth,Mediterranean,"Upper East Side, New York, NY"
Masalawala & Sons,Indian,"Park Slope, New York, NY"
Jasmine's Caribbean Cuisine,Caribbean,"Times Square/Theatre District, New York, NY"
Sojourn Social,American (New),"Upper East Side, New York, NY"
Maison Passerelle,French,"Lower Manhattan, New York, NY"
Fresco by Scotto,Italian,"Midtown East, New York, NY"
PB Brasserie Steak House,French,"Harlem, New York, NY"
Bar Mercer,Gastropub,"Soho, New York, NY"
The Mermaid Inn - Upper West Side,Seafood,"Upper West Side, New York, NY"
Korali Estiatorio,Greek,"Upper East Side, New York, NY"
Rialto Ristorante,Italian,"Astoria, New York, NY"
Boni & Mott,Mediterranean,"Nolita, New York, NY"
La Pecora Bianca Upper West Side,Italian,"Upper West Side, New York, NY"
Margaux by La Sirène,French,"Murray Hill, New York, NY"
